90	4
106	5
58	6
50	7
106	7
6	9
7	9
67	9
90	9
117	10
119	10
57	11
6	14
11	14
12	14
14	14
16	14
16	15
50	15
106	15
116	15
50	16
90	16
106	17
49	18
91	18
49	23
91	25
49	26
91	27
91	29
98	29
41	31
46	31
91	33
49	38
43	41
29	44
107	44
85	50
87	50
49	51
24	58
103	58
24	60
24	61
24	62
103	62
24	63
39	67
13	69
15	69
70	74
75	74
108	78
36	81
68	81
94	82
36	83
65	83
70	85
72	85
75	85
51	86
116	86
36	87
94	88
36	89
70	89
72	89
75	89
36	90
94	90
70	94
72	94
94	94
51	95
94	95
51	96
72	96
51	99
106	107
17	114
11	118
61	126
81	128
9	134
78	135
9	136
81	147
9	149
9	150
20	164
9	165
69	171
74	171
74	172
81	175
81	178
20	188
81	188
80	189
20	195
7	200
46	211
56	211
64	216
35	233
13	239
85	239
86	239
99	239
103	239
117	239
46	240
108	242
67	244
120	244
35	247
35	256
46	258
35	260
108	267
108	272
64	275
7	281
11	281
14	281
16	281
17	281
1	284
114	285
115	285
41	290
35	297
27	302
28	302
29	302
108	305
67	306
1	311
8	318
30	318
46	318
104	318
8	320
77	320
79	320
104	320
8	322
8	325
104	325
30	327
85	327
87	327
103	328
104	328
30	329
104	329
8	330
116	332
89	336
25	337
25	339
25	340
116	342
40	347
38	350
40	350
41	350
25	354
25	355
116	357
89	358
118	358
38	359
41	359
89	359
17	381
44	389
40	398
44	402
44	403
44	408
120	408
6	410
44	410
33	416
109	416
109	417
63	418
109	418
53	421
63	421
33	422
11	423
33	424
53	424
63	428
63	430
109	431
53	432
33	434
63	434
109	434
53	436
33	437
53	437
100	439
101	439
102	439
2	440
45	440
107	440
2	441
15	441
100	441
101	441
102	441
39	442
100	442
101	442
102	442
111	442
39	443
2	444
45	444
103	444
111	444
2	448
15	449
60	449
100	449
101	449
102	449
120	449
2	454
39	455
45	455
100	455
101	455
102	455
58	461
69	463
52	502
93	504
52	505
52	506
93	506
93	507
93	511
52	512
93	512
54	518
54	523
54	525
119	526
57	528
32	538
32	539
38	539
41	539
32	542
32	547
32	549
55	560
55	562
55	564
69	574
119	574
55	577
55	578
10	587
10	595
10	597
10	605
10	612
88	616
4	622
14	636
16	636
17	636
4	640
88	645
4	648
88	648
4	649
6	651
4	652
64	657
7	675
87	678
7	705
20	716
26	718
26	723
26	725
26	730
64	730
26	731
3	733
27	733
86	733
57	742
40	751
13	757
15	757
65	757
27	797
95	832
96	832
40	842
120	881
71	885
73	885
76	885
78	885
71	892
76	892
70	897
72	897
62	903
64	958
65	962
66	962
67	962
111	981
82	1003
84	1003
48	1004
48	1010
48	1011
84	1015
107	1015
48	1020
48	1021
27	1022
28	1022
111	1022
84	1023
84	1028
43	1091
83	1092
43	1093
43	1096
39	1102
43	1107
5	1109
113	1112
112	1114
113	1114
113	1116
112	1123
113	1127
112	1128
112	1131
112	1132
113	1132
1	1138
23	1166
34	1167
23	1168
23	1171
3	1172
21	1172
22	1172
97	1173
21	1174
21	1180
23	1180
34	1180
3	1182
22	1182
34	1183
3	1184
5	1184
18	1184
19	1184
97	1184
3	1187
18	1188
19	1188
21	1188
22	1189
97	1189
18	1190
19	1190
21	1190
97	1190
23	1192
65	1193
19	1197
22	1197
120	1197
18	1199
19	1199
22	1199
65	1199
97	1199
105	1202
105	1203
105	1206
105	1220
105	1224
31	1238
86	1238
31	1240
110	1240
31	1243
110	1243
31	1244
110	1244
31	1247
110	1247
110	1249
6	1278
47	1279
47	1280
47	1281
47	1284
5	1287
59	1294
73	1304
87	1304
86	1305
29	1310
86	1325
11	1338
37	1338
85	1338
87	1338
115	1338
37	1339
92	1339
42	1343
29	1346
42	1351
29	1355
115	1355
92	1356
37	1357
85	1366
92	1367
115	1367
115	1370
92	1371
92	1377
37	1378
71	1383
76	1383
27	1392
111	1408
